#;SeasonStart;PlayerName;PlayerSalary;Pos;Age;Tm;FG%;PTS
22486;2014;Aaron Gray;$1,227,985.00 ;C;29;TOT;44,3;65
22487;2014;Aaron Gray;$1,227,985.00 ;C;29;TOR;66,7;5
22488;2014;Aaron Gray;$1,227,985.00 ;C;29;SAC;43,1;60
23732;2016;Aaron Harrison;$375,579.00 ;SG;21;CHO;26,3;18
24315;2017;Aaron Harrison;;SG;22;CHO;0;1
4220;1975;Aaron James;;SF;22;NOJ;47,7;887
4492;1976;Aaron James;;SF;23;NOJ;44,1;677
4805;1977;Aaron James;;SF;24;NOJ;49;565
5172;1978;Aaron James;;SF;25;NOJ;49,7;973
5536;1979;Aaron James;;SF;26;NOJ;49,4;727
12107;1995;Aaron McKie;$845,000.00 ;SG;22;POR;44,4;293
12596;1996;Aaron McKie;$1,040,000.00 ;SG;23;POR;46,7;864
13172;1997;Aaron McKie;$1,235,000.00 ;SG;24;TOT;41,1;433
13173;1997;Aaron McKie;$1,235,000.00 ;SG;24;POR;34;170
13174;1997;Aaron McKie;$1,235,000.00 ;SG;24;DET;46,4;263
13711;1998;Aaron McKie;$1,430,000.00 ;SG-SF;25;TOT;36,5;332
13712;1998;Aaron McKie;$1,430,000.00 ;SF;25;DET;41,3;109
13713;1998;Aaron McKie;$1,430,000.00 ;SG;25;PHI;34,7;223
14258;1999;Aaron McKie;$1,624,000.00 ;SG;26;PHI;40,1;240
14774;2000;Aaron McKie;;SG;27;PHI;41,1;653
15276;2001;Aaron McKie;$4,000,000.00 ;SG;28;PHI;47,3;878
15803;2002;Aaron McKie;;SG;29;PHI;44,9;587
16288;2003;Aaron McKie;;SF;30;PHI;42,9;721
16826;2004;Aaron McKie;$5,500,000.00 ;SF;31;PHI;45,9;689
17413;2005;Aaron McKie;$6,000,000.00 ;SG;32;PHI;43;152
17986;2006;Aaron McKie;$5,570,874.00 ;PG;33;LAL;25;7
18534;2007;Aaron McKie;$750,000.00 ;SF;34;LAL;64,7;22
17990;2006;Aaron Miles;;PG;22;GSW;33,3;16
12232;1995;Aaron Swinson;;SF;24;PHO;55,6;24
11812;1994;Aaron Williams;$150,000.00 ;PF;22;UTA;25;4
12268;1995;Aaron Williams;;PF;23;MIL;33,3;24
13385;1997;Aaron Williams;$500,000.00 ;PF-C;25;TOT;57,4;203
13386;1997;Aaron Williams;$500,000.00 ;C;25;DEN;60;6
13387;1997;Aaron Williams;$500,000.00 ;PF;25;VAN;57,3;197
13932;1998;Aaron Williams;$575,000.00 ;PF;26;SEA;52,3;296
14444;1999;Aaron Williams;$1,100,000.00 ;PF;27;SEA;42,3;158
14946;2000;Aaron Williams;$2,250,000.00 ;PF;28;WAS;52,2;616
15482;2001;Aaron Williams;$2,475,000.00 ;PF;29;NJN;45,7;838
15988;2002;Aaron Williams;$2,700,000.00 ;PF;30;NJN;52,6;592
16466;2003;Aaron Williams;$2,925,000.00 ;C;31;NJN;45,3;500
17049;2004;Aaron Williams;$3,790,257.00 ;C;32;NJN;50,3;450
17640;2005;Aaron Williams;$3,375,000.00 ;C;33;TOT;46;73
17641;2005;Aaron Williams;$3,375,000.00 ;C;33;NJN;51,9;37
17642;2005;Aaron Williams;$3,375,000.00 ;C;33;TOR;41,7;36
18204;2006;Aaron Williams;$1,750,000.00 ;C;34;TOT;51,7;222
18205;2006;Aaron Williams;$1,750,000.00 ;C;34;TOR;52,6;25
18206;2006;Aaron Williams;$1,750,000.00 ;C;34;NOK;51,6;197
18720;2007;Aaron Williams;$1,890,000.00 ;PF;35;LAC;54,7;76
19307;2008;Aaron Williams;;C;36;LAC;49,1;68
5881;1980;Abdul Jeelani;;SF;25;POR;51;737
6237;1981;Abdul Jeelani;;SF;26;DAL;42,5;553
11484;1994;Acie Earl;$845,000.00 ;C;23;BOS;40,6;410
11953;1995;Acie Earl;$1,040,000.00 ;C;24;BOS;38,2;66
12419;1996;Acie Earl;$1,235,000.00 ;C;25;TOR;42,4;316
12981;1997;Acie Earl;$1,430,000.00 ;C;26;TOT;37,2;188
12982;1997;Acie Earl;$1,430,000.00 ;C;26;TOR;37,6;162
12983;1997;Acie Earl;$1,430,000.00 ;C;26;MIL;34,8;26
19071;2008;Acie Law;$2,071,680.00 ;PG;23;ATL;40,1;235
19649;2009;Acie Law;$2,216,160.00 ;PG;24;ATL;37,4;162
20248;2010;Acie Law;$656,030.00 ;PG;25;TOT;46,7;113
20249;2010;Acie Law;$656,030.00 ;PG;25;GSW;64,3;31
20250;2010;Acie Law;$656,030.00 ;PG;25;CHA;31,3;16
20251;2010;Acie Law;$656,030.00 ;PG;25;CHI;46,7;66
20858;2011;Acie Law;;PG;26;TOT;43,5;215
20859;2011;Acie Law;;PG;26;MEM;15,8;12
20860;2011;Acie Law;;PG;26;GSW;46,7;203
16180;2003;Adam Harrington;;SG;22;TOT;29,7;30
16181;2003;Adam Harrington;;SG;22;DAL;23,5;11
16182;2003;Adam Harrington;;SG;22;DEN;35;19
11108;1993;Adam Keefe;$1,200,000.00 ;PF;22;ATL;50;542
11588;1994;Adam Keefe;$1,500,000.00 ;PF;23;ATL;45,1;273
12049;1995;Adam Keefe;$1,650,000.00 ;SF;24;UTA;57,7;461
12530;1996;Adam Keefe;$1,950,000.00 ;PF;25;UTA;52;499
13100;1997;Adam Keefe;$2,300,000.00 ;C;26;UTA;51,3;235
13656;1998;Adam Keefe;$2,650,000.00 ;C;27;UTA;54;620
14201;1999;Adam Keefe;;PF;28;UTA;45,2;174
14714;2000;Adam Keefe;$3,390,000.00 ;C;29;UTA;40,8;135
15214;2001;Adam Keefe;;PF;30;GSW;40,3;168
18553;2007;Adam Morrison;;PF;22;CHA;37,6;917
19714;2009;Adam Morrison;$5,257,229.00 ;SF;24;TOT;35,9;209
19715;2009;Adam Morrison;$5,257,229.00 ;SF;24;CHA;36;199
19716;2009;Adam Morrison;$5,257,229.00 ;SF;24;LAL;33,3;10
20313;2010;Adam Morrison;;SF;25;LAL;37,6;74
13578;1998;Adonal Foyle;$1,701,000.00 ;C;22;GSW;40,6;165
14117;1999;Adonal Foyle;$1,922,520.00 ;C;23;GSW;43;129
14628;2000;Adonal Foyle;$3,580,000.00 ;C;24;GSW;50,8;420
15126;2001;Adonal Foyle;$4,400,000.00 ;C;25;GSW;41,6;342
15663;2002;Adonal Foyle;$4,400,000.00 ;C;26;GSW;44,4;379
16147;2003;Adonal Foyle;$4,400,000.00 ;C;27;GSW;53,6;440
16667;2004;Adonal Foyle;$6,500,000.00 ;C;28;GSW;45,4;137
17256;2005;Adonal Foyle;$7,312,500.00 ;C;29;GSW;50,2;352
17831;2006;Adonal Foyle;$8,125,000.00 ;C;30;GSW;50,7;345
18373;2007;Adonal Foyle;$8,937,500.00 ;C;31;GSW;56,5;107
18915;2008;Adonal Foyle;$1,262,275.00 ;C;32;ORL;45,8;156
19522;2009;Adonal Foyle;$1,306,455.00 ;C;33;TOT;63,6;17
19523;2009;Adonal Foyle;$1,306,455.00 ;C;33;ORL;63,6;17
19524;2009;Adonal Foyle;$1,306,455.00 ;C;33;MEM;;0
11586;1994;Adonis Jordan;;PG;23;DEN;26,1;15
14199;1999;Adonis Jordan;;PG;28;MIL;50;6
22787;2014;Adonis Thomas;;SF;20;TOT;42,9;14
22788;2014;Adonis Thomas;;SF;20;ORL;33,3;7
22789;2014;Adonis Thomas;;SF;20;PHI;60;7
23313;2015;Adreian Payne;$1,938,840.00 ;PF;23;TOT;41,4;213
23314;2015;Adreian Payne;$1,938,840.00 ;PF;23;ATL;28,6;5
23315;2015;Adreian Payne;$1,938,840.00 ;PF;23;MIN;41,8;208
23939;2016;Adreian Payne;$2,022,240.00 ;PF;24;MIN;36,6;132
24523;2017;Adreian Payne;;PF;25;MIN;42,6;63
8332;1987;Adrian Branch;;SF;23;LAL;50;138
8715;1988;Adrian Branch;;SF;24;NJN;41,8;133
9147;1989;Adrian Branch;;SF;25;POR;46,3;498
9581;1990;Adrian Branch;;SF;26;MIN;41;65
9597;1990;Adrian Caldwell;$275,000.00 ;PF;23;HOU;55,3;97
10064;1991;Adrian Caldwell;;PF;24;HOU;42,2;77
11900;1995;Adrian Caldwell;$225,000.00 ;PF;28;HOU;25;5
12358;1996;Adrian Caldwell;;PF;29;IND;55,4;110
12911;1997;Adrian Caldwell;$20,000.00 ;PF;30;TOT;43,5;101
12912;1997;Adrian Caldwell;$20,000.00 ;PF;30;NJN;28,6;29
12913;1997;Adrian Caldwell;$20,000.00 ;PF;30;PHI;52,6;72
13490;1998;Adrian Caldwell;;PF;31;DAL;;0
4721;1977;Adrian Dantley*;;SF;20;BUF;52;1564
5088;1978;Adrian Dantley*;;SF;21;TOT;51,2;1697
5089;1978;Adrian Dantley*;;SF;21;IND;49,9;609
5090;1978;Adrian Dantley*;;SF;21;LAL;52;1088
5458;1979;Adrian Dantley*;;SF;22;LAL;51;1040
5807;1980;Adrian Dantley*;;SF;23;UTA;57,6;1903
6152;1981;Adrian Dantley*;;SF;24;UTA;55,9;2452
6521;1982;Adrian Dantley*;;SF;25;UTA;57;2457
6895;1983;Adrian Dantley*;;SF;26;UTA;58;676
7274;1984;Adrian Dantley*;;SF;27;UTA;55,8;2418
7622;1985;Adrian Dantley*;;SF;28;UTA;53,1;1462
7995;1986;Adrian Dantley*;;SF;29;UTA;56,3;2267
8372;1987;Adrian Dantley*;;SF;30;DET;53,4;1742
8754;1988;Adrian Dantley*;;SF;31;DET;51,4;1380
9186;1989;Adrian Dantley*;;SF;32;TOT;49,3;1400
9187;1989;Adrian Dantley*;;SF;32;DET;52,1;772
9188;1989;Adrian Dantley*;;SF;32;DAL;46,2;628
9628;1990;Adrian Dantley*;$400,000.00 ;SF;33;DAL;47,7;662
10094;1991;Adrian Dantley*;;SF;34;MIL;38;57
14649;2000;Adrian Griffin;$498,500.00 ;SG;25;BOS;42,4;485
15149;2001;Adrian Griffin;$565,850.00 ;SF;26;BOS;34;93
15681;2002;Adrian Griffin;$637,435.00 ;SG;27;DAL;49,9;415
16169;2003;Adrian Griffin;$751,179.00 ;SG;28;DAL;43,3;325
16695;2004;Adrian Griffin;;SG;29;HOU;27,8;11
17282;2005;Adrian Griffin;$768,718.00 ;SF;30;CHI;36;151
17865;2006;Adrian Griffin;$1,475,000.00 ;SG;31;DAL;48;237
18400;2007;Adrian Griffin;$1,593,000.00 ;SF;32;CHI;47,3;137
18959;2008;Adrian Griffin;$1,711,000.00 ;SG-SF;33;TOT;39,5;65
18960;2008;Adrian Griffin;$1,711,000.00 ;SG;33;CHI;40;51
18961;2008;Adrian Griffin;$1,711,000.00 ;SF;33;SEA;37,5;14
1795;1962;Adrian Smith;;SG;25;CIN;40,5;576
1927;1963;Adrian Smith;;SG;26;CIN;44,3;705
2058;1964;Adrian Smith;;SG;27;CIN;40,6;622
2196;1965;Adrian Smith;;SG;28;CIN;45,6;1210
2314;1966;Adrian Smith;;SG;29;CIN;40,5;1470
2456;1967;Adrian Smith;;SG;30;CIN;43,8;1347
2624;1968;Adrian Smith;;SG;31;CIN;46,4;1280
2828;1969;Adrian Smith;;SG;32;CIN;43,2;703
3025;1970;Adrian Smith;;SG;33;TOT;36,8;458
3026;1970;Adrian Smith;;SG;33;CIN;40,5;172
3027;1970;Adrian Smith;;SG;33;SFW;34,7;286
3261;1971;Adrian Smith;;SG;34;SFW;42,7;111
1580;1961;Al Attles;;PG;24;PHW;40,9;541
1685;1962;Al Attles;;PG;25;PHW;47,4;844
1809;1963;Al Attles;;PG;26;SFW;47,8;735
1944;1964;Al Attles;;PG;27;SFW;45,2;763
2080;1965;Al Attles;;PG;28;SFW;38,4;679
2213;1966;Al Attles;;PG;29;SFW;50,3;882
2349;1967;Al Attles;;PG;30;SFW;45,4;512
2485;1968;Al Attles;;PG;31;SFW;46,7;654
2666;1969;Al Attles;;PG;32;SFW;45,1;419
2873;1970;Al Attles;;PG;33;SFW;38,6;231
3079;1971;Al Attles;;PG;34;SFW;40,7;68
1137;1957;Al Bianchi;;PG;24;SYR;35,1;563
1240;1958;Al Bianchi;;SG;25;SYR;34,4;570
1352;1959;Al Bianchi;;PG;26;SYR;37,7;719
1467;1960;Al Bianchi;;PG;27;SYR;36,6;531
1587;1961;Al Bianchi;;PG;28;SYR;34,5;296
1688;1962;Al Bianchi;;PG;29;SYR;39,7;826
1815;1963;Al Bianchi;;SG;30;SYR;42,4;524
1950;1964;Al Bianchi;;PG;31;PHI;37,6;623
2087;1965;Al Bianchi;;PG;32;PHI;36;404
2227;1966;Al Bianchi;;PG;33;PHI;38,2;494
1699;1962;Al Butler;;PG;23;TOT;46,3;827
1700;1962;Al Butler;;PG;23;BOS;44,8;31
1701;1962;Al Butler;;PG;23;NYK;46,3;796
1823;1963;Al Butler;;PG;24;NYK;43,9;738
1960;1964;Al Butler;;PG;25;NYK;42,2;658
2097;1965;Al Butler;;PG;26;BAL;32,9;59
4416;1976;Al Carlson;;C;24;SEA;34,2;72
32;1950;Al Cervi*;;PG;32;SYR;33,2;573
342;1951;Al Cervi*;;PG;33;SYR;38,2;458
506;1952;Al Cervi*;;PG;34;SYR;35,4;417
640;1953;Al Cervi*;;PG;35;SYR;43,7;143
4183;1975;Al Eberhard;;SF;22;DET;36,5;79
4445;1976;Al Eberhard;;SF;23;DET;41,4;757
4740;1977;Al Eberhard;;SF;24;DET;47,6;471
5115;1978;Al Eberhard;;SF;25;DET;44,4;183
1048;1956;Al Ferrari;;SF;22;STL;35,8;546
1375;1959;Al Ferrari;;SG;25;STL;34,8;413
1487;1960;Al Ferrari;;SG;26;STL;41,3;608
1606;1961;Al Ferrari;;SG;27;STL;35,7;329
1718;1962;Al Ferrari;;SG;28;STL;35,7;591
1843;1963;Al Ferrari;;G-F;29;CHZ;32,4;38
5123;1978;Al Fleming;;SF;23;SEA;48,4;40
85;1950;Al Guokas;;F-G;24;TOT;31,1;214
86;1950;Al Guokas;;F-G;24;DNN;31,7;197
87;1950;Al Guokas;;F-G;24;PHW;25;17
2730;1969;Al Hairston;;SG;23;SEA;33,3;84
2929;1970;Al Hairston;;SG;24;SEA;37,5;7
14148;1999;Al Harrington;;PF;18;IND;32,1;45
14659;2000;Al Harrington;$797,880.00 ;PF;19;IND;45,8;328
15160;2001;Al Harrington;$1,436,982.00 ;PF;20;IND;44,4;586
15694;2002;Al Harrington;$5,060,000.00 ;PF;21;IND;47,5;576
16183;2003;Al Harrington;$5,692,500.00 ;SF;22;IND;43,4;1002
16709;2004;Al Harrington;$6,325,000.00 ;PF;23;IND;46,3;1048
17294;2005;Al Harrington;$6,957,500.00 ;SF;24;ATL;45,9;1158
17874;2006;Al Harrington;$7,625,000.00 ;PF;25;ATL;45,2;1411
18405;2007;Al Harrington;$8,425,625.00 ;PF;26;TOT;45,7;1285
18406;2007;Al Harrington;$8,425,625.00 ;PF;26;IND;45,8;572
18407;2007;Al Harrington;$8,425,625.00 ;PF;26;GSW;45,6;713
18965;2008;Al Harrington;$9,226,250.00 ;C;27;GSW;43,4;1102
19559;2009;Al Harrington;$10,026,875.00 ;PF;28;TOT;43,9;1469
19560;2009;Al Harrington;$10,026,875.00 ;PF;28;GSW;32,9;62
19561;2009;Al Harrington;$10,026,875.00 ;PF;28;NYK;44,6;1407
20134;2010;Al Harrington;$5,765,000.00 ;PF;29;NYK;43,5;1276
20767;2011;Al Harrington;$6,226,200.00 ;PF;30;DEN;41,6;765
21341;2012;Al Harrington;$6,687,400.00 ;PF;31;DEN;44,6;910
21889;2013;Al Harrington;$3,574,300.00 ;C;32;ORL;35,1;51
22507;2014;Al Harrington;$3,805,000.00 ;PF;33;WAS;39,6;225
3172;1971;Al Henry;;C;21;PHI;16,7;7
3407;1972;Al Henry;;C;22;PHI;43,6;187
18989;2008;Al Horford;$4,026,720.00 ;C;21;ATL;49,9;821
19586;2009;Al Horford;$4,307,640.00 ;C;22;ATL;52,5;773
20163;2010;Al Horford;$5,444,857.00 ;C;23;ATL;55,1;1148
20793;2011;Al Horford;$12,000,000.00 ;C;24;ATL;55,7;1178
21374;2012;Al Horford;$12,000,000.00 ;C;25;ATL;55,3;136
21918;2013;Al Horford;$12,000,000.00 ;C;26;ATL;54,3;1289
22534;2014;Al Horford;$12,000,000.00 ;C;27;ATL;56,7;538
23139;2015;Al Horford;$12,000,000.00 ;C;28;ATL;53,8;1156
23762;2016;Al Horford;$26,540,100.00 ;C;29;ATL;50,5;1249
24343;2017;Al Horford;$27,734,405.00 ;C;30;BOS;47,3;952
2559;1968;Al Jackson;;G;24;CIN;0;0
17350;2005;Al Jefferson;$1,512,840.00 ;PF;20;BOS;52,8;475
17923;2006;Al Jefferson;;PF;21;BOS;49,9;464
18467;2007;Al Jefferson;$2,480,885.00 ;C;22;BOS;51,4;1107
19023;2008;Al Jefferson;$11,000,000.00 ;C;23;MIN;50;1726
19618;2009;Al Jefferson;$12,000,000.00 ;C;24;MIN;49,7;1156
20214;2010;Al Jefferson;$13,000,000.00 ;C;25;MIN;49,8;1301
20817;2011;Al Jefferson;$14,000,000.00 ;C;26;UTA;49,6;1528
21398;2012;Al Jefferson;$15,000,000.00 ;C;27;UTA;49,2;1170
21936;2013;Al Jefferson;;C;28;UTA;49,4;1391
22554;2014;Al Jefferson;;C;29;CHA;50,9;1594
23155;2015;Al Jefferson;$13,833,333.00 ;C;30;CHO;48,1;1082
23782;2016;Al Jefferson;$10,230,179.00 ;C;31;CHO;48,5;562
24366;2017;Al Jefferson;$9,769,821.00 ;C;32;IND;49,9;535
702;1953;Al Masino;;PG;24;MLH;33,5;396
845;1954;Al Masino;;PG;25;TOT;41,9;82
846;1954;Al Masino;;PG;25;ROC;50;23
847;1954;Al Masino;;PG;25;SYR;39,1;59
174;1950;Al Miksis;;C;21;WAT;23,8;27
873;1954;Al Roges;;SF;23;BLB;35,8;570
994;1955;Al Roges;;G-F;24;TOT;37,7;61
4930;1977;Al Skinner;;SG;24;NYN;43,1;995
5315;1978;Al Skinner;;SG;25;TOT;45,5;606
5316;1978;Al Skinner;;SG;25;NJN;40,6;121
5317;1978;Al Skinner;;SG;25;DET;46,8;485
5663;1979;Al Skinner;;SG;26;TOT;42,5;281
5664;1979;Al Skinner;;SG;26;NJN;44;182
5665;1979;Al Skinner;;SG;26;PHI;40,4;99
6026;1980;Al Skinner;;SG;27;PHI;50;2
19262;2008;Al Thornton;$1,776,240.00 ;PF;24;LAC;42,9;1005
19864;2009;Al Thornton;$1,900,200.00 ;SF;25;LAC;44,6;1194
20439;2010;Al Thornton;$2,814,196.00 ;SF;26;TOT;47,3;804
20440;2010;Al Thornton;$2,814,196.00 ;SF;26;LAC;47,8;548
20441;2010;Al Thornton;$2,814,196.00 ;SF;26;WAS;46,3;256
21048;2011;Al Thornton;;SF-PF;27;TOT;47,6;524
21049;2011;Al Thornton;;SF;27;WAS;47,1;393
21050;2011;Al Thornton;;PF;27;GSW;49;131
2635;1968;Al Tucker;;PF;24;SEA;44,2;1060
2837;1969;Al Tucker;;PF;25;TOT;44,6;880
2838;1969;Al Tucker;;PF;25;SEA;43,2;579
2839;1969;Al Tucker;;PF;25;CIN;47,5;301
3041;1970;Al Tucker;;PF;26;TOT;51,2;362
3042;1970;Al Tucker;;PF;26;CHI;51,3;231
3043;1970;Al Tucker;;PF;26;BAL;51;131
3280;1971;Al Tucker;;PF;27;BAL;45,2;129
6811;1982;Al Wood;;SG;23;TOT;47;454
6812;1982;Al Wood;;SG;23;ATL;34,3;92
6813;1982;Al Wood;;SG;23;SDC;51,8;362
7209;1983;Al Wood;;SF;24;SDC;46,4;825
7554;1984;Al Wood;;SG;25;SEA;49,4;1160
7914;1985;Al Wood;;SG;26;SEA;48,5;1203
8292;1986;Al Wood;;SG;27;SEA;43,5;902
8670;1987;Al Wood;;SG;28;DAL;39;358
10007;1991;Alaa Abdelnaby;$494,000.00 ;PF;22;POR;47,4;135
10449;1992;Alaa Abdelnaby;$500,000.00 ;PF;23;POR;49,3;432
10908;1993;Alaa Abdelnaby;$805,000.00 ;PF;24;TOT;51,8;578
10909;1993;Alaa Abdelnaby;$805,000.00 ;PF;24;MIL;46,4;64
10910;1993;Alaa Abdelnaby;$805,000.00 ;PF;24;BOS;52,5;514
11358;1994;Alaa Abdelnaby;$650,000.00 ;PF;25;BOS;43,6;64
11840;1995;Alaa Abdelnaby;;PF;26;TOT;51,1;256
11841;1995;Alaa Abdelnaby;;PF;26;SAC;53,2;254
11842;1995;Alaa Abdelnaby;;PF;26;PHI;9,1;2
17669;2006;Alan Anderson;;SF;23;CHA;41,4;207
18237;2007;Alan Anderson;;SG;24;CHA;45,7;98
21140;2012;Alan Anderson;$885,120.00 ;SF;29;TOR;38,7;163
21696;2013;Alan Anderson;$947,907.00 ;SF;30;TOR;38,3;693
22274;2014;Alan Anderson;$1,276,061.00 ;SF;31;BRK;40;564
22883;2015;Alan Anderson;$4,000,000.00 ;SG;32;BRK;44,3;545
23532;2016;Alan Anderson;$1,315,448.00 ;SG;33;WAS;35,6;65
24109;2017;Alan Anderson;;SF;34;LAC;37,5;86
6208;1981;Alan Hardy;;SG;23;LAL;37,3;51
6572;1982;Alan Hardy;;SG;24;DET;45,6;142
12498;1996;Alan Henderson;$910,000.00 ;PF;23;ATL;44,2;503
13059;1997;Alan Henderson;$1,028,400.00 ;PF;24;ATL;47,5;199
13615;1998;Alan Henderson;$4,725,000.00 ;PF;25;ATL;48,5;986
14153;1999;Alan Henderson;$5,318,437.00 ;SF;26;ATL;44,2;474
14665;2000;Alan Henderson;$5,910,000.00 ;PF;27;ATL;46,1;1083
15170;2001;Alan Henderson;$6,500,312.00 ;PF;28;ATL;44,4;769
15705;2002;Alan Henderson;$7,091,250.00 ;PF;29;ATL;50,9;143
16193;2003;Alan Henderson;$7,682,188.00 ;C;30;ATL;46,8;394
16721;2004;Alan Henderson;$8,273,125.00 ;PF;31;ATL;47,6;24
17306;2005;Alan Henderson;$1,138,500.00 ;PF;32;DAL;52,7;273
17885;2006;Alan Henderson;;C;33;CLE;51,6;127
18421;2007;Alan Henderson;;PF;34;PHI;64,2;119
10292;1991;Alan Ogg;$202,000.00 ;C;23;MIA;43,6;54
10748;1992;Alan Ogg;;C;24;MIA;54,8;108
11192;1993;Alan Ogg;;C;25;TOT;38,5;13
11193;1993;Alan Ogg;;C;25;MIL;33,3;8
11194;1993;Alan Ogg;;C;25;WSB;50;5
463;1951;Alan Sawyer;;F;23;WSC;37;217
24075;2016;Alan Williams;$874,636.00 ;PF;23;PHO;41,7;29
24660;2017;Alan Williams;$6,000,000.00 ;C;24;PHO;51,7;346
19264;2008;Alando Tucker;$1,001,880.00 ;SF;23;PHO;36,4;22
19866;2009;Alando Tucker;$1,071,720.00 ;SG;24;PHO;43;138
20447;2010;Alando Tucker;;SF;25;TOT;43,6;51
20448;2010;Alando Tucker;;SF;25;PHO;43,3;43
20449;2010;Alando Tucker;;SF;25;MIN;44,4;8
6636;1982;Albert King;;SF;22;NJN;48,2;918
7018;1983;Albert King;;SF;23;NJN;47,5;1346
7369;1984;Albert King;;SF;24;NJN;49,2;1165
7721;1985;Albert King;;SF;25;NJN;49,1;537
8100;1986;Albert King;;SF;26;NJN;45,6;1047
8473;1987;Albert King;;SF;27;NJN;42,6;582
8871;1988;Albert King;;SF;28;PHI;39,1;517
9302;1989;Albert King;;SF;29;SAS;43,1;327
